state_name,land_use_name,hour_of_crash,atmospheric_conditions_name,consecutive_number,body_type_name,number_of_fatalities
Wyoming,Rural,3,Snow,560099,Standard Pickup,1
Idaho,Rural,16,Blowing Snow,160226,Utility Station Wagon,2
Arkansas,Urban,3,Clear,50006,Standard Pickup,1
Texas,Urban,15,Clear,482027,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
Florida,Urban,19,Clear,121570,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Arizona,Rural,19,Clear,40186,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
Arizona,Rural,19,Clear,40186,Utility Station Wagon,2
California,Rural,0,Clear,60424,Utility Station Wagon,4
Louisiana,Rural,23,Clear,220503,Standard Pickup,1
Mississippi,Urban,15,Clear,280190,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
New Mexico,Urban,6,Clear,350035,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
California,Urban,6,Clear,63236,Motorcycle,1
California,Urban,6,Clear,63236,Standard Pickup,1
Missouri,Urban,20,Clear,290496,4-Door Sedan/Hardtop,1
Missouri,Urban,14,Clear,290501,Station Wagon (Excluding Van and Truck-Based),1
Oklahoma,Urban,12,Clear,400508,4-Door Sedan/Hardtop,1
Texas,Urban,10,Clear,481521,Motorcycle,1
California,Urban,13,Clear,60675,4-Door Sedan/Hardtop,2
Idaho,Rural,5,Clear,160088,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
New Mexico,Rural,13,Clear,350143,Minivan,1
New Mexico,Rural,13,Clear,350143,Motorcycle,1
Oklahoma,Rural,3,Clear,400563,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
Tennessee,Urban,10,Clear,470779,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Texas,Rural,21,Clear,481784,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Illinois,Rural,14,Clear,170446,Three-Wheel Motorcycle/Moped- Not All-Terrain Vehicle,1
Kentucky,Rural,4,Clear,210156,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2
Kentucky,Rural,4,Clear,210156,4-Door Sedan/Hardtop,2
Kentucky,Rural,4,Clear,210156,4-Door Sedan/Hardtop,2
New Mexico,Rural,12,Clear,350188,Other or Unknown Automobile Type,1
Florida,Rural,18,Clear,121160,Single Unit Straight Truck or Cab-Chassis (GVWR Unknown) (Since 2011),1
Louisiana,Rural,8,Clear,220634,Motorcycle,1
Arkansas,Rural,16,Clear,50189,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
Indiana,Rural,16,Clear,180698,Utility Station Wagon,1
Alabama,Rural,14,Clear,10131,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
Alabama,Rural,13,Clear,10135,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
Oklahoma,Rural,21,Clear,400561,Standard Pickup,1
Georgia,Rural,19,Clear,131106,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Kansas,Rural,1,Clear,200269,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
Illinois,Rural,1,Clear,170719,"Convertible (Excludes Sunroof, T-Bar)",2
Arizona,Rural,3,Clear,40476,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),3
Florida,Rural,20,Clear,120105,Standard Pickup,1
New Mexico,Rural,22,Clear,350164,4-Door Sedan/Hardtop,1
Arkansas,Rural,20,Clear,50170,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
New York,Rural,4,Clear,360039,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
South Carolina,Rural,5,Clear,450761,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",1
Nevada,Rural,4,Clear,320236,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",1
Nevada,Rural,23,Clear,320234,4-Door Sedan/Hardtop,1
Florida,Urban,4,Clear,121386,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
Indiana,Urban,6,Clear,180192,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
California,Urban,1,Clear,61714,4-Door Sedan/Hardtop,1
Arkansas,Urban,1,Clear,50417,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
California,Urban,19,Clear,61469,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Florida,Urban,9,Clear,122803,Motorcycle,1
Florida,Urban,9,Clear,122434,Large Van – Includes Van-Based Buses,1
Florida,Urban,9,Clear,122434,Large Van – Includes Van-Based Buses,1
Minnesota,Urban,17,Clear,270204,4-Door Sedan/Hardtop,1
Minnesota,Urban,17,Clear,270204,Motorcycle,1
Minnesota,Urban,17,Clear,270204,Station Wagon (Excluding Van and Truck-Based),1
Minnesota,Urban,17,Clear,270204,Standard Pickup,1
Minnesota,Urban,17,Clear,270204,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
New Jersey,Urban,18,Clear,340155,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Washington,Urban,18,Clear,530112,Motorcycle,1
Connecticut,Urban,8,Clear,90258,Standard Pickup,1
Texas,Urban,18,Clear,481229,Motorcycle,1
Massachusetts,Urban,17,Clear,250083,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Arizona,Urban,15,Clear,40524,Motorcycle,1
Pennsylvania,Urban,17,Clear,420047,3-Door/2-Door Hatchback,1
Texas,Urban,12,Clear,481226,4-Door Sedan/Hardtop,1
Michigan,Urban,20,Clear,260209,Motorcycle,1
Georgia,Urban,7,Clear,130117,Standard Pickup,1
New Hampshire,Urban,13,Clear,330063,4-Door Sedan/Hardtop,1
Louisiana,Urban,16,Clear,220033,Utility Station Wagon,1
South Carolina,Urban,17,Clear,450637,Motorcycle,1
Illinois,Urban,5,Clear,170827,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Washington,Urban,0,Clear,530226,Standard Pickup,1
Washington,Urban,0,Clear,530226,Motorcycle,1
Texas,Rural,1,Clear,480432,Standard Pickup,1
Mississippi,Rural,4,Clear,280514,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),1
Texas,Rural,18,Clear,482966,Standard Pickup,1
Indiana,Rural,1,Clear,180042,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
Illinois,Urban,19,Clear,170710,Motorcycle,1
Florida,Urban,19,Clear,122733,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),1
California,Rural,2,Clear,61863,Standard Pickup,2
